Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Этажей;Цена;Метро;Дата постройки;Дата реконструкции;Даты кап. ремонты;Общая пл. здания, м2;Жилая пл., м2;Пл. нежелых помещений м2;Мансарда м2;Кол-во проживающих;Центральное отопление;Центральное ГВС;Центральное ЭС;Центарльное ГС;Тип Квартир;Кол-во квартир;Дата ТЭП;Виды кап. ремонта;Общее кол-во лифтов;Расстояние пешком;Время пешком;Расстояние на машине;Время на машине;Откуда взято
Выборгский;Тореза пр.;118;;;Студия Н;48,34;22;0;7396000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
﻿Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;48,4;12;0;6327000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;48,41;6;0;6086000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;48,43;10;0;6220000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;48,44;15;0;6501000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Выборгский;Грибалевой ул.;9;;;Студия Н;48,45;12;0;8071000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;48,46;11;0;6278000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Выборгский;Светлановский пр.;121;1;А;Студия Н;48,81;14;0;5417000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Выборгский;Большой Сампсониевский пр.;77;;;Студия Н;48,87;5;0;6599000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Выборгский;Архитектора Белова ул.;5;1;;Студия Н;48,95;24;0;5213000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Выборгский;Тореза пр.;118;;;Студия Н;49;;0;6141000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/706819916.html
