Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
Выборгский;Тореза пр.;118;;;Студия Н;78,87;2;9464000;Озерки;
﻿Выборгский;Грибалевой ул.;10;;;Студия Н;79,15;11;12038000;Лесная;
Выборгский;Тореза пр.;118;;;Студия Н;79,22;;9235000;Озерки;https://www.emls.ru/fullinfo/4/332444.html
Выборгский;Тореза пр.;118;;;Студия Н;79,22;15;10338000;Озерки;
Выборгский;Тореза пр.;118;;;Студия Н;79,25;22;10698000;Озерки;
Калининский;Металлистов пр.;117;;;Студия Н;34,25;;3700000;Лесная;https://www.emls.ru/fullinfo/4/332984.html
Калининский;Политехническая ул.;6;;Б;Студия Н;29,06;;3750000;Площадь Мужества;https://www.emls.ru/fullinfo/4/333352.html
Калининский;Политехническая ул.;6;;Б;Студия Н;18,35;;2450000;Площадь Мужества;https://www.emls.ru/fullinfo/4/333467.html
Калининский;Политехническая ул.;6;;Б;Студия Н;18,35;;2600000;Площадь Мужества;https://www.emls.ru/fullinfo/4/333868.html
Калининский;Политехническая ул.;6;;Б;Студия Н;20;;2980000;Площадь Мужества;https://www.emls.ru/fullinfo/4/333863.html
Калининский;Маршала Блюхера пр.;9;1;;Студия Н;30,3;13;4419000;Лесная;
﻿Калининский;Маршала Блюхера пр.;4;3;;Студия Н;30,4;;3100000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706815316.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;30,4;;3303000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706812686.html
Калининский;Металлистов пр.;117;;;Студия Н;30,96;;3350000;Лесная;https://www.emls.ru/fullinfo/4/332656.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;31,7;;3444000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706812689.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;32,2;;3499000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706812575.html
Калининский;Политехническая ул.;6;;Б;Студия Н;32,59;9;4057000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;33,4;;3500000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706812574.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;33,4;16;3944000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;33,59;11;4097000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;12;;;Студия Н;33,7;;5000000;Лесная;https://www.emls.ru/fullinfo/4/706814689.html
﻿Калининский;Кушелевская дорога;5;2;;Студия Н;33,9;;4100000;Площадь Мужества;https://www.emls.ru/fullinfo/4/331048.html
Калининский;Металлистов пр.;117;;;Студия Н;34;;3550000;Лесная;https://www.emls.ru/fullinfo/4/322523.html
Калининский;Кондратьевский пр.;68;4;М;Студия Н;34,5;;4500000;Лесная;https://www.emls.ru/fullinfo/4/307598.html
Калининский;Политехническая ул.;6;;Б;Студия Н;34,78;11;4225000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;35,1;;3814000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706812684.html
Калининский;Лабораторный пр.;23;;;Студия Н;35,22;;3169000;Лесная;https://www.emls.ru/fullinfo/4/706823273.html
Калининский;Лабораторный пр.;23;;;Студия Н;35,26;;3173000;Лесная;https://www.emls.ru/fullinfo/4/706823501.html
Калининский;Лабораторный пр.;23;;;Студия Н;35,6;;3204000;Лесная;https://www.emls.ru/fullinfo/4/706823502.html
Калининский;Политехническая ул.;6;;Б;Студия Н;35,62;11;4345000;Площадь Мужества;
Калининский;Богословская ул.;4;3;;Студия Н;38,1;1;4686000;Лесная;
