Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
Адмиралтейский;Шкапина ул.;9;;А;Студия;40,3;10;5500000;Балтийская;https://www.emls.ru/fullinfo/1/1453018.html
Адмиралтейский;Московский пр.;73;5;;Студия;27,7;15;5750000;Фрунзенская;https://www.emls.ru/fullinfo/1/706566064.html
Адмиралтейский;Красуцкого ул.;3;;;Студия;30;15;6109000;Фрунзенская;https://www.emls.ru/fullinfo/1/706563235.html
Адмиралтейский;Обводного кан. наб.;108;;;Студия;31,5;11;6400000;Фрунзенская;https://www.emls.ru/fullinfo/1/1426967.html
Адмиралтейский;Обводного кан. наб.;108;;;Студия;36;11;6513000;Фрунзенская;https://www.emls.ru/fullinfo/1/706569769.html
Адмиралтейский;Б. Казачий пер.;1;;;Студия;37;4;7599000;Звенигородская;https://www.emls.ru/fullinfo/1/706561418.html
Адмиралтейский;Вознесенский пр.;41;;;Студия;59,2;3;8000000;Садовая;https://www.emls.ru/fullinfo/1/1469633.html
﻿Адмиралтейский;Гороховая ул.;51;;;Студия;15;1;1845000;Сенная площадь;https://www.emls.ru/fullinfo/1/1468475.html
Адмиралтейский;Гороховая ул.;51;;А;Студия;19;1;2285000;Сенная площадь;https://www.emls.ru/fullinfo/1/1465977.html
Адмиралтейский;Гороховая ул.;51;;;Студия;18;1;2285000;Сенная площадь;https://www.emls.ru/fullinfo/1/1468477.html
Адмиралтейский;Гороховая ул.;51;;;Студия;17,9;1;2285000;Сенная площадь;https://www.emls.ru/fullinfo/1/1467566.html
Адмиралтейский;Гороховая ул.;51;;;Студия;19,8;1;2545000;Сенная площадь;https://www.emls.ru/fullinfo/1/1468215.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия;30,09;2;4500000;Фрунзенская;https://www.emls.ru/fullinfo/1/1436873.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия;29;11;4570000;Фрунзенская;https://www.emls.ru/fullinfo/1/706568634.html
Василеостровский;Наличная ул.;51;;;Студия;25;15;2650000;Приморская;https://www.emls.ru/fullinfo/1/706560306.html
Василеостровский;18-я линия В.О.;11;;;Студия;17,5;2;2285000;Василеостровская;https://www.emls.ru/fullinfo/1/1469549.html
Василеостровский;Средний пр.;70;;;Студия;20,4;2;2485000;Василеостровская;https://www.emls.ru/fullinfo/1/1469546.html
﻿Василеостровский;18-я линия В.О.;11;;;Студия;18,6;2;2485000;Василеостровская;https://www.emls.ru/fullinfo/1/1471171.html
Василеостровский;Александра Грина бул.;1;;;Студия;22,3;16;2610000;Приморская;https://www.emls.ru/fullinfo/1/1427076.html
Василеостровский;Наличная ул.;51;;;Студия;25;3;2650000;Приморская;https://www.emls.ru/fullinfo/1/1466579.html
