Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Этажей;Цена;Метро;Дата постройки;Дата реконструкции;Даты кап. ремонты;Общая пл. здания, м2;Жилая пл., м2;Пл. нежелых помещений м2;Мансарда м2;Кол-во проживающих;Центральное отопление;Центральное ГВС;Центральное ЭС;Центарльное ГС;Тип Квартир;Кол-во квартир;Дата ТЭП;Виды кап. ремонта;Общее кол-во лифтов;Расстояние пешком;Время пешком;Расстояние на машине;Время на машине;Откуда взято
Адмиралтейский;6-я Красноармейская ул.;25;;;6 км. кв.;177,00;3;4;12600000;Технологический институт;1904;;2006, 2016, 2016, 2016, 2017;1512,5;1273,5;0;0;0;True;True;True;True;1 комн., 3 комн.;3, 2;21.05.2013;Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш;0;934 м;11 мин;1200 м;5 мин;https://www.bn.ru/detail/flats/2967277/
Адмиралтейский;Садовая;77;;;4 км. кв.;92,50;3;3;13200000;Садовая;1849;1977;2006, 2007, 2008, 2008, 2011, 2011, 2011, 2012, 2012, 2014;4658,5;2869,17;1222,73;0;7;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;10, 6, 12, 2, 1 ;02.02.2011;Благоустройство придомовой территории, Ремонт и восстановление озеленения, Ремонт или восстановление внутридомовых инженерных систем, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;0;1900 м;22 мин;2200 м;10 мин;https://www.bn.ru/detail/flats/2779779/
Адмиралтейский;Декабристов;19;;;4 км. кв.;123,00;2;4;13250000;Сенная площадь;1836;1971;2006, 2006, 2006, 2007, 2008;4319,7;3550,6;400,3;0;5;True;True;True;True;2 комн., 3 комн., 4 комн., 5 комн.;3, 6, 9, 1;19.10.2010;Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;0;1200 м;14 мин;1700 м;8 мин;https://www.bn.ru/detail/flats/2924310/
Адмиралтейский;Сенная;7;;;4 км. кв.;103,00;4;6;13250000;Садовая;1917;1965;;4685,2;3135,5;882,7;0;6;True;False;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;1, 9, 8, 5, 1 ;27.12.2012;;1;204 м;2 мин;358 м;2 мин;https://www.bn.ru/detail/flats/3198905/
Адмиралтейский;Макаренко пер.;7;;;4 км. кв.;117,00;2;5;13300000;Садовая;1871;1966;2005;2123,3;905,04;1068,06;0;3;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн.;1, 5, 1, 3;16.03.2010;Ремонт фасадов без утепления;0;1800 м;21 мин;2100 м;12 мин;https://www.bn.ru/detail/flats/2923963/
Адмиралтейский;Декабристов;19;;;4 км. кв.;123,00;2;4;13300000;Сенная площадь;1836;1971;2006, 2006, 2006, 2007, 2008;4319,7;3550,6;400,3;0;5;True;True;True;True;2 комн., 3 комн., 4 комн., 5 комн.;3, 6, 9, 1;19.10.2010;Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;0;1200 м;14 мин;1700 м;8 мин;https://www.bn.ru/detail/flats/2936404/
Адмиралтейский;Галерная;44;;;4 км. кв.;122,80;3;5;13400000;Адмиралтейская;1899;;2007,2017 ;1527,2;1295,7;51,5;0;1;True;True;True;True;1 комн., 2 комн., 3 комн. ;1, 9, 4 ;21.05.2013;Ремонт или замена системы электроснабжения, Ремонт фасадов без утепления;0;2000 м;24 мин;3400 м;10 мин;https://www.bn.ru/detail/flats/2781712/
Адмиралтейский;Малая Подьяческая;3;;;4 км. кв.;95,10;5;7;13400000;Сенная площадь;1881;1960;2002, 2002, 2006, 2006, 2007, 2010, 2010, 2010, 2010, 2014, 2015, 2017;9079,3;7532,1;474,9;0;8;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн. ;3, 17, 10, 20, 4, 3, 0;19.10.2010;Капитальный ремонт лифтов (с заменой крупных узлов), Капитальный ремонт лифтов (с заменой крупных узлов), Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов, Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов, Расходы на изготовление проектно-сметной документации, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;6;1200 м;14 мин;1700 м;9 мин;https://www.bn.ru/detail/flats/3151270/
Адмиралтейский;Грибоедова кан;68;;;5 км. кв.;115,00;3;0;13500000;Садовая;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;501 м;6 мин;997 м;6 мин;https://www.bn.ru/detail/flats/1343624/
﻿Адмиралтейский;Пирогова пер;14;;;4 км. кв.;110,00;2;5;13500000;Садовая;1878;1966;2007, 2007, 2007, 2007, 2013, 2013;3140,4;2229,9;510,7;0;8;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;4, 5, 4, 5, 1 ;12.04.2009;Ремонт или восстановление внутридомовых инженерных систем, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы отопления, Ремонт конструкций и замена покрытий крыш, Ремонт конструкций и замена покрытий крыш;0;1500 м;17 мин;1700 м;6 мин;https://www.bn.ru/detail/flats/2901494/
